id,en,ru,uk,pl,da
START_GAME,Start Game,Начать игру,Почати гру,Rozpocząć grę,Nyt Spil
SETTINGS,Settings,Настройки,Налаштування,Konfiguracja,Indstillinger
LEADERBOARD,Leaderboard,Таблица лидеров,Таблиця лідерів,Tabela Liderów,Point Tavle
CREDITS,Credits,Титры,Титр,Napis,Credits
EXIT,Exit,Выход,Вихід,Wyjście,Afslut
BRICKS,bricks,кирпичи,цегла,cegły,Byggesten
GEMS,gems,самоцветы,самоцвіти,klejnoty,Ædelstene
RECRUITS,recruits,звери,звірі,rekrutów,Rekrutter
COMPUTER,COMPUTER,ИИ,Штучний інтелект,Sztuczna inteligencja,Computer
WINDOW_SETTINGS,Window Settings,Настройки окна,Налаштування вікна,Ustawienia Okna,Vindue Indstillinger
SOUND_SETTINGS,Sound Settings,Настройки звука,Налаштування звуку,Ustawienia Dźwięku,Lyd Indstillinger
STARTING_CONDITIONS,Starting Conditions,Стартовые настройки,Початкові налаштування,Ustawienia początkowe,Begyndelses Vilkår
PLAY_CONDITIONS,Play Conditions,Игровые настройки,Ігрові налаштування,Ustawienia gry,Spilleregler
VICTORY_CONDITIONS,Victory Conditions,Условия победы,Умови перемоги,Warunki zwycięstwa,Sejr Vilkår
TAVERN_PRESETS,Tavern Presets,Выбор таверны,Вибір таверни,Wybór tawerny,Kro Indstillinger
FULLSCREEN,Fullscreen:,Полноэкранный:,Повноекранний:,Pelnoekranowy:,Fuld Skærm:
BORDERLESS,Borderless:,Безрамочный:,Безрамковий:,Bezramkowy:,Ingen Border:
WINDOW_WIDTH,Window Width:,Ширина окна:,Ширина вікна:,Szerokość okna:,Vinduesbredde:
WINDOW_HEIGHT,Height:,Высота:,Висота:,Wysokość:,Vindueshøjde:
VSYNC,VSync:,VSync:,VSync:,VSync:,VSync:
INTRO_SKIP,Intro skip:,Пропуск интро:,Пропуск інтро:,Intro skip:,Intro Skip:
MASTER,Master:,Общий:,Загальний:,Generał:,Master:
MUSIC,Music:,Музыка:,Музика:,Muzyka:,Musik:
SOUNDS,Sounds:,Звуки:,Звуки:,Dźwięk:,Lyd:
MUTE_SOUND,Mute Sound,Заглушить звук,Заглушити звук,Zagłuszyć dźwięk,Lydløs
SINGLEPLAYER,Single Player,Одиночная игра,Одиночна гра,Gra pojedyncza,Single Player
MULTIPLAYER,Multi Player,Сетевая игра,Багатокористувацька,Multiplayer,Multi Plater
SINGLE_CLICK_MODE,Single Click Mode,Одиночный клик,Режим одиночного клацання,Tryb Pojedynczego Kliknięcia,Enkelt Klik Instilling
TOWER_LEVELS,Tower Levels:,Высота башни,Висота вежі:,Wysokość wieży:,Tårn Niveau:
WALL_LEVELS,Wall Levels:,Высота стены,Висота стіни:,Wysokość ściany:,Mur Niveau:
QUARRY_LEVELS,Quarry Levels:,Карьеры,Рівні кар’єру:,Poziomy kariery:,Stenbrud Niveau:
MAGIC_LEVELS,Magic Levels:,Магия,Рівні магії:,Poziomy magii:,Magi Niveau:
DUNGEON_LEVELS,Dungeon Levels:,Темницы,Рівні підземелля:,Poziomy lochów:,Hule Niveau:
BRICK_QUANTITIES,Brick Quantities:,Кирпичи,Кількість цегли:,Ilość cegieł:,Byggesten Mængde:
GEM_QUANTITIES,Gem Quantities:,Самоцветы,Кількість самоцвітів:,Ilość klejnotów:,Ædelsten Mængde:
RECRUIT_QUANTITIES,Recruit Quantities:,Звери,Кількість звірів:,Liczba rekrutów:,Rekrut Mængde:
AUTOGET_BRICKS,Auto Get Number of Bricks:,Авто получение кирпичей:,Автоматично отримати кількість цегли:,Automatycznie uzyskaj liczbę cegieł:,Auto Skaf Antal af Byggesten:
AUTOGET_GEMS,Auto Get Number of Gems:,Авто получение самоцветов:,Автоматично отримати кількість самоцвітів:,Automatycznie uzyskaj liczbę klejnotów:,Auto Skaf Antal af Ædelstene:
AUTOGET_RECRUITS,Auto Get Number of Recruits:,Авто получение зверей:,Автоматично отримати кількість звірів:,Automatycznie uzyskać Ilość rekrutów:,Auto Skaf Antal af Rekrutter:
CARDS_IN_HAND,Number of Cards in Hand:,Количество карт в руке,Кількість карт в руці:,Liczba kart w ręku:,Antal Kort i Hånden:
AI_LEVEL,Computer AI to play Against:,Стиль игры компьютера,Стиль гри комп'ютера:,Styl gry komputerowej:,Antal Computer AI modstandere:
AI_AUTO,Auto,Автоматический,Автоматичний,Automatyczny,Auto
AI_ATTACK,Attack,Атака,Напад,Atak,Angreb
AI_DEFENCE,Defence,Защита,Оборона,obronność,Forsvar
AI_RANDOM,Random,Случайный,Випадковий,Przypadkowy,Random
TOWER_VICTORY,Tower Victory:,Выстроить башню:,Перемога вежі:,Zwycięstwo wieży:,Tårn Sejr:
RESOURCE_VICTORY,Resource Victory:,Собрать ресурсов:,Зібрати ресурсів:,Zbierz zasoby:,Ressource Sejr:
TAVERN,Tavern:,Таверна:,Таверна:,Tawerna:,Kro:
NONE,None,Нет,Немає,Nie,Ingen:
TAVERN_HARMONDALE,On the House (Harmondale),За счет заведения (Хармондейл),У будинку (Гармондейл),Na koszt zakładu (Harmondale),On the House (Harmondale)
TAVERN_ERATHIA,Griffin's Rest (Erathia),Покой грифона (Эрафия),Покої грифона (Ерафіі),Kwatery Gryfów Śląski (Erathia),Griffin's Rest (Erathia)
TAVERN_TULAREAN_FOREST,Emerald Inn (Tularean Forest),Изумрудный двор (Тулареанский лес),Смарагдовий двір (Тулареанскій ліс),Szmaragdowy dziedziniec (Tularean Forest),Emerald Inn (Tularean Forest)
TAVERN_DEYJA,Snobbish Goblin (Deyja),Снобисткий гоблин (Дейя),Снобістський гоблін (Дейя),Goblin Snobistyczny (Deyja),Snobbish Goblin (Deyja)
TAVERN_BRACADA_DESERT,Familiar Place (Bracada Desert),Знакомое местечко (Пустыня Бракада),Знайоме містечко (Пустеля Бракада),Znane miasteczko (Pustynia Bracada),Familiar Place (Bracada Desert)
TAVERN_CELESTE,The Blessed Brew (Celeste),Благословённое варево (Небеса),Благословенне вариво (Небеса),Cudowny napar (Niebo),The Blessed Brew (Celeste)
TAVERN_PIT,The Vamyre Lounge (The Pit),Бар Вампира (Бездна),Бар Вампіра (Безодня),Bar Wampirów (Czeluść),The Vamyre Lounge (The Pit)
TAVERN_EVERMORN_ISLAND,The Laughing Monk (Evermorn Island),Смеющийся монах (Остров Эвенморн),Сміюся монах (Острів Евенморн),Roześmiany mnich (Wyspa Evenmorn),The Laughing Monk (Evermorn Island)
TAVERN_NIGHON,Fortune's Folly (Nighon),Причуды фортуны (Нигон),Примхи фортуни (Нігон),Dziwactwa fortuny (Nigon),Fortune's Folly (Nighon)
TAVERN_BARROW_DOWNS,Miner's Only (Barrow Downs),Шахтерская (Курганы),Шахтарська (Кургани),Górniczy (Kopiec),Miner's Only (Barrow Downs)
TAVERN_TIDEWATER,The Loyal Mercenary (Tidewater),Лояльный наёмник (Таталия),Лояльний найманець (Таталія),Lojalny najemnik (Tidewater),The Loyal Mercenary (Tidewater)
TAVERN_AVLEE,The Potted Pixie (Avlee),Пьяные пикси (АвЛи),Піксі в горщиках (Авлі),Pixie w doniczkach(Avlee),The Potted Pixie (Avlee)
TAVERN_STONE_CITY,Grogg's Grog (Stone City),Грог Грогга (Каменный город),Грог грогі (Кам'яне місто),Grogg's Grog (Kamienne miasto),Grogg's Grog (Stone City)
RESTORE_DEFAULTS,Reset to defaults,Сбросить настройки,Повернути стандартні значення,Zwróć standardowe wartości,Nulstil Alt
SAVE_AND_CLOSE,Save and Close,Сохранить и закрыть,Зберегти та закрити,Zapisz i zamknij,Gem og Luk
WINNER_IS,THE WINNER IS:,ПОБЕДИЛ:,ПЕРЕМОЖЕЦЬ:,ZWYCIĘZCA:,VINDEREN ER:
TOWER_VICTORY_MSG,BY A TOWER BUILDING VICTORY!!!,СТРОИТЕЛЬСТВОМ БАШНИ,ПЕРЕМОГА БУДІВНИЦТВА ВЕЖИ !!!,WYGRAJ BUDOWĘ WIEŻY!!!,VIA TÅRN BYGGESEJR!!!
TOWER_DESTROY_MSG,BY A TOWER DESTRUCTION VICTORY!!!,УНИЧТОЖЕНИЕМ БАШНИ,ПЕРЕМОГА ЗНИЩЕННЯ БАШТИ !!!,ZWYCIĘSTWO ZNISZCZENIA WIEŻY!!!,VIA TÅRN NEDLÆGNINGSSEJR!!!
RESOURCE_VICTORY_MSG,BY A RESOURCE VICTORY!!!,СБОРОМ РЕСУРСОВ,РЕСУРСНА ПЕРЕМОГА!!!,ZWYCIĘSTWO ZASOBÓW!!!,VIA RESSOURCESEJR!!!
ORIGINAL_GAMEDEVS,ORIGINAL GAME DEVELOPERS:,РАЗРАБОТЧИКИ ОРИГИНАЛЬНОЙ ИГРЫ:,ОРИГІНАЛЬНІ РОЗРОБНИКИ ГРИ:,ORYGINALNI TWÓRCY GRY:,OPRINDELIGE SPILUDVIKLERE:
REMAKE_DEV,REMAKE DEVELOPED BY:,РАЗРАБОТЧИК РЕМЕЙКА:,"РЕМЕЙК, РОЗРОБЛЕНИЙ:",REMAKE OPRACOWANY PRZEZ:,REMAKE UDVIKLET AF:
TESTING,TESTING:,ТЕСТИРОВАНИЕ:,ТЕСТУВАННЯ:,TESTOWANIE:,TESTER:
WARNING_TEXT,This is fan remake and not connected or affiliated with New World Computing or it's copyright holders (3DO or Ubisoft).,Это фанатский ремейк и он никак не связан или аффилирован с New World Computing или с их правообладателями (3DO или Ubisoft),Це фанатський ремейк і він ніяк не пов'язаний або афілійований з New World Computing або з їх правовласниками (3DO або Ubisoft),Jest to remake fanów i nie jest w żaden sposób powiązany z New World Computing ani z ich posiadaczami praw (3DO lub Ubisoft),Detter er en fan remake og er ikke forbundet eller associeret med New World Computing eller deres copyright indehavere (3DO eller Ubisoft).
NEXT,Next,Далее,Далі,Dalej,Næste
LANGUAGE_SETTINGS,Language Settings,Настройки языка,Налаштування мови,Ustawienia języka,Sprog Instillinger
LANGUAGE,Language:,Язык:,Мова:,Język:,Sprog:
APPLY,Apply,Применить,,,Tilføj
TIME,TIME:,ВРЕМЯ:,,,TID:
START_GAME_TOOLTIP,Starts a new game with the current settings.,Начинает новую игру с текущими настройками.,,,Start nyt spil med nuværende indstillinger.
SETTINGS_TOOLTIP,Allows you to customize the rules of the game.,Позволяет настроить правила игры.,,,Tillader dig at rette på spillets regler.
LEADERBOARD_TOOLTIP,Opens the leaderboard.,Открывает доску лидеров.,,,Åbner point tavle
CREDITS_TOOLTIP,Opens credits.,Открывает титры.,,,Åbner credits.
EXIT_TOOLTIP,Quit the game.,Выйти из игры.,,,Afslutter spillet.
WORK_IN_PROGRESS,Work in progress...,Работа в процессе...,,,Under udvikling...
SETTINGS_WARNING,Some settings may not be avalible or not working correctly for now.,Некоторые настройки сейчас могут быть недоступны или работать некорректно.,,,Nogle indstillinger er muligvis ikke tilgængelig eller virker ikke ordenligt lige nu.
TRANSLATION_MAY_CONTAIN_ERRORS,Translation may contain errors.,Перевод может содержать ошибки.,Переклад може містити помилки.,Tłumaczenie może zawierać błędy.,Oversættelse kan indeholde fejl.
DISCARDED,DISCARDED,СБРОШЕНА,,,Kasseret
THANKS_FOR_TRANSLATION,Thanks for translation:,Спасибо за перевод:,,,
PLAYER_SETTINGS,Player Settings,Настройки игрока,,,
NICKNAME,Nickname:,Никнейм:,,,